Host: http://localhost:8086
Concurrency: 16
Virtual Hosts: 8
Measurements: 5
Tag cardinalities: [100 100]
Points per series: 1000
Total series: 50000
Total points: 50000000
Total fields per point: 3
Randomized field values: false
Multiple writes per point: false
Batch Size: 1000
Database: Stress (Shard duration: 1h)
Write Consistency: any
Writing into InfluxDB 2.0: true
InfluxDB 2.0 Authorization Token: bvYd9DG4n5IlVLUKLIeay7zJkxrhJRFVXmCIbuJPaff_5cHknvUPKmaK6urdRQLRDRVHsXFh2Umuwro6lb4I6g==
Content-Type:[application/x-www-form-urlencoded]
Authorization:[Token bvYd9DG4n5IlVLUKLIeay7zJkxrhJRFVXmCIbuJPaff_5cHknvUPKmaK6urdRQLRDRVHsXFh2Umuwro6lb4I6g==]
Start time: 2024-07-18 09:46:38.989922248 +0000 UTC
Approx End time: 2024-07-18 09:53:18.989922248 +0000 UTC
T=00000001 3000 points written (0%). Total throughput: 2999.7 pt/sec | 8999.2 val/sec. Current throughput: 3000 val/sec. Errors: 0
T=00000002 613000 points written (1%). Total throughput: 306440.8 pt/sec | 919322.4 val/sec. Current throughput: 610000 val/sec. Errors: 0 | μ: 51.925152ms, 90%: 28.540831ms, 95%: 34.674103ms, 99%: 1.241706858s
T=00000003 1295000 points written (2%). Total throughput: 431607.2 pt/sec | 1294821.7 val/sec. Current throughput: 682000 val/sec. Errors: 0 | μ: 36.806587ms, 90%: 30.456003ms, 95%: 38.666898ms, 99%: 1.173904086s
T=00000004 2013000 points written (4%). Total throughput: 503239.1 pt/sec | 1509717.3 val/sec. Current throughput: 718000 val/sec. Errors: 0 | μ: 31.598512ms, 90%: 30.41143ms, 95%: 36.229141ms, 99%: 131.126459ms
T=00000005 2754000 points written (5%). Total throughput: 550707.0 pt/sec | 1652120.9 val/sec. Current throughput: 741000 val/sec. Errors: 0 | μ: 28.877772ms, 90%: 30.086111ms, 95%: 34.78743ms, 99%: 96.2194ms
T=00000006 3525000 points written (7%). Total throughput: 587495.8 pt/sec | 1762487.5 val/sec. Current throughput: 771000 val/sec. Errors: 0 | μ: 27.110669ms, 90%: 29.766432ms, 95%: 34.902406ms, 99%: 74.557454ms
T=00000007 4219000 points written (8%). Total throughput: 602662.0 pt/sec | 1807985.9 val/sec. Current throughput: 694000 val/sec. Errors: 0 | μ: 26.395118ms, 90%: 30.181011ms, 95%: 36.003867ms, 99%: 68.72679ms
T=00000008 4886000 points written (9%). Total throughput: 610713.8 pt/sec | 1832141.5 val/sec. Current throughput: 667000 val/sec. Errors: 0 | μ: 26.096556ms, 90%: 30.877733ms, 95%: 36.30991ms, 99%: 68.443056ms
T=00000009 5575000 points written (11%). Total throughput: 619413.2 pt/sec | 1858239.5 val/sec. Current throughput: 689000 val/sec. Errors: 0 | μ: 25.733251ms, 90%: 30.970043ms, 95%: 36.335889ms, 99%: 68.443056ms
T=00000010 6329000 points written (12%). Total throughput: 632884.2 pt/sec | 1898652.5 val/sec. Current throughput: 754000 val/sec. Errors: 0 | μ: 25.167164ms, 90%: 30.746683ms, 95%: 36.240441ms, 99%: 65.913458ms
T=00000011 7096000 points written (14%). Total throughput: 645086.0 pt/sec | 1935257.9 val/sec. Current throughput: 767000 val/sec. Errors: 0 | μ: 24.691372ms, 90%: 30.611098ms, 95%: 36.196759ms, 99%: 64.714531ms
